"","ID","EMPLOYER","VEHPERDR","VEHPERWK","COMMTIME","NORMHOUR","SPEED","OVERTIME","CSO9FT4","CSO9FT3","CSO9FT5","CSO9FT6","CSO9FT9","CSO9FT1","CSO9FT2","CSO9FT8","CSO9FT7","EFACT1","EFACT3","EFACT9","EFACT7","EFACT2","EFACT5","EFACT6","EFACT4","C1CONT","JOBCONST","MANCONST","SELFDRIV","TECHCONS","C1CONTC","C1CONTH","C2CONT","C2CONTC","C2CONTH","CHILD616","CH616F","CHILDLT6","CHILDINH","C3H17M","FEMALE","JOBHOME","LD","MANDPRV","NOSPACE","PCNAV","SUPERVIS","UNAWARE","TSUPNO","F1NVEH","F2HWPLDI","F3HWPLMI","F4WPLHMI","F8AGEGR","F9HHSIZ","F10LT2","F10B6_15","F10B2_5","F11","F12FTWKE","F12PTWKE","F13DRLIC","F14HHLIC","F15EDUC","F16INCOM","DISTANCE","F7SEX","B4OCCUP"
"144",1397,2,1,1,45,80,9.3,0,-0.51651,1.41063,0.20339,0.03007,-0.73135,-0.42081,1.79867,1.7276,1.12537,0.90574,-0.25894,-0.74687,0.57574,0.74477,1.268,-0.70827,-0.88363,3,0,0,1,5,3,3,3,3,3,0,0,0,0,0,0,1,7,0,0,1,0,1,0,1,3.5,20,25,3,1,0,0,0,2,1,0,1,0,4,3,7,2,2
"145",1403,2,1,1,35,80,27.4,0,-0.77786,-0.83007,3.01181,-0.9975,-1.83779,-1.48324,2.53257,1.6485,0.93683,0.4134,-1.36956,-0.35808,1.27145,1.40482,0.56004,0.6952,-0.38743,1,1,1,1,6,1,1,1,1,0,0,0,0,0,0,1,1,4,0,0,1,1,0,0,2,8,17.5,17.5,5,2,0,0,0,2,2,0,1,1,5,5,16,1,2
"146",1404,2,1,1,50,80,14.4,0,-0.80462,-0.18569,0.53818,-0.10153,-1.09832,-0.59474,1.24264,1.48082,-0.50633,-1.67269,-0.04535,-0.81443,-0.64871,1.1439,0.57319,-0.90757,-0.51435,2,0,0,1,2,0,2,2,0,2,0,0,0,0,1,0,1,5,0,0,0,0,0,0,2,6,25,25,4,2,0,0,0,2,2,0,1,1,6,5,12,2,2
"147",1411,2,0.5,0.5,30,80,20,5,-0.45005,1.44855,-0.50252,1.02721,0.23039,0.4192,-0.41783,0.09989,1.18177,0.17608,0.91051,-0.18882,0.84977,-0.41612,1.03136,0.33923,0.33705,3,0,0,1,3,1,3,1,1,1,0,0,0,0,1,1,1,5,0,1,1,1,0,0,1,5,15,15,2,2,0,0,0,2,2,0,1,1,6,3,10,1,1
"148",1423,2,1,1,70,80,22.3,0,-0.27642,0.50532,0.57365,-0.54784,-0.6463,-0.93648,1.20698,1.13149,-0.42748,0.17862,-0.81614,0.17633,-0.22353,-1.03708,-0.21135,-0.10464,0.18178,1,1,1,1,4,1,0,1,1,0,1,1,0,1,0,1,1,5,0,0,1,0,0,0,2,13,30,40,3,5,0,2,0,2,2,0,1,1,3,4,26,1,5
"149",1430,2,0.7,0.7,45,80,13.3,0,-0.78655,-0.87866,0.33769,-0.84598,0.30591,-0.61606,-0.01917,-0.58473,-0.90194,-0.9244,-1.02457,0.15367,0.33499,0.44239,-0.39465,0.28842,0.39941,5,0,0,1,0,5,3,5,5,3,0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,5,20,25,4,4,0,0,0,2,2,1,1,2,3,2,10,1,5
"150",1438,2,1.3,1.3,50,80,28.8,0,-0.97046,-0.86027,-0.7767,-0.81787,0.35601,-0.77084,-0.93019,-1.62895,-1.38457,-0.3115,-0.76085,0.00838,-0.86185,0.30683,-1.06555,-1.19722,-0.26341,3,0,0,1,0,3,3,3,3,3,0,0,0,0,1,0,1,7,0,0,0,1,0,0,4,12,25,25,4,3,0,0,0,2,2,1,1,2,6,4,24,2,2
"151",2000,1,1,2,35,80,34.3,0,0.41945,-0.86203,-0.67649,-0.67558,0.6616,1.93943,-0.90489,-0.30332,-1.16663,0.0062,0.533,-0.95231,0.00237,0.59663,-0.33515,-0.45217,-0.3845,5,0,1,1,4,4,5,4,4,4,0,0,0,0,0,1,1,2,0,0,1,0,1,1,2,10,15,20,5,2,0,0,0,2,1,0,1,1,3,2,20,1,2
"152",2001,1,1,1,42.5,80,16.9,0,-0.58564,0.67753,-0.55704,0.05804,-0.54958,-0.90102,0.0067,-0.86478,0.51589,-0.65385,0.35928,-0.09728,0.17553,0.19879,0.26896,0.47875,1.27609,3,0,0,1,2,2,3,2,2,2,0,0,0,0,0,1,1,4,0,0,1,0,1,0,1,6,17.5,25,3,1,0,0,0,2,1,0,1,0,6,3,12,1,2
"153",2003,1,1,1,30,80,12,0,0.80764,0.77304,-0.69133,1.78126,-0.28736,1.28129,-1.05018,-1.62656,-1.1277,-0.42543,-0.60379,-0.96737,-1.1203,-0.09634,-1.07927,0.17874,0.12714,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,3,15,15,3,3,0,1,0,2,1,0,1,1,3,4,6,1,5
"154",2004,1,1,1,60,80,36,0,1.93731,-0.58476,-0.6224,-0.81993,-0.56705,-0.53919,-0.70225,-0.01239,0.56265,0.53044,-0.64117,0.45934,-0.73555,-1.47004,-0.14675,0.08633,-0.44068,4,0,0,1,0,4,4,4,4,4,0,0,1,1,1,1,1,5,0,0,0,0,0,0,2,18,35,25,2,4,1,0,1,2,-1,-1,1,1,4,5,36,1,2
"155",2005,1,1,1,60,80,32,0,-0.59934,-0.87433,-0.67195,-0.86572,-0.27135,-1.20752,-0.66685,-0.60307,-0.98602,-0.05173,0.16804,0.12304,-0.7362,0.36816,0.5844,0.0775,-0.69984,3,0,0,1,1,0,3,3,0,3,1,1,0,1,1,1,1,6,0,0,0,0,0,0,3,16,30,30,3,6,0,3,0,2,0,1,1,2,2,6,32,1,2
